"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://kerkarmedia.com/","1","Digital Marketing Agency Mumbai | Kerkar Media","46","434","Indexable",""
"https://kerkarmedia.com/core-web-vitals-guide/","1","Core Web Vitals 2026: LCP, INP, CLS and What They Actually Mean for Your Rankings","81","756","Indexable",""
"https://kerkarmedia.com/benefits-of-digital-marketing-for-b2b/","1","12 Benefits of Digital Marketing for B2B Companies (2026 Guide)","63","577","Indexable",""
"https://kerkarmedia.com/seo-company-in-hyderabad/","1","SEO Company in Hyderabad & Leading SEO Agency in Hyderabad","58","575","Indexable",""
"https://kerkarmedia.com/seo-company-in-jaipur/","1","SEO Company in Jaipur & Leading SEO Agency in Jaipur","52","495","Indexable",""
"https://kerkarmedia.com/seo-company-in-delhi/","1","SEO Company in Delhi & Leading SEO Agency in Delhi","50","473","Indexable",""
"https://kerkarmedia.com/linkedin-marketing-services/","1","LinkedIn Marketing Agency In Mumbai | Kerkar Media","50","473","Indexable",""
"https://kerkarmedia.com/terms-of-service/","1","Terms of Services - Kerkar Media","32","297","Indexable",""
"https://kerkarmedia.com/website-development-company-mumbai/","1","Website Development Company In Mumbai | Web Designing","53","533","Indexable",""
"https://kerkarmedia.com/amazon-marketing/","1","Amazon Marketing Agency Mumbai | Kerkar Media","45","451","Indexable",""
"https://kerkarmedia.com/seo-company-for-law-firm/","1","SEO Company For Law Firm | Kerkar Media","39","382","Indexable",""
"https://kerkarmedia.com/html-sitemap/","1","HTML Sitemap - Kerkar Media","27","269","Indexable",""
"https://kerkarmedia.com/author/kunal-kerkar/","1","Kunal Kerkar | Founder & CEO at Kerkar Media","44","410","Indexable",""
"https://kerkarmedia.com/seo-company-in-chennai/","1","SEO Company in Chennai & Leading SEO Agency in Chennai","54","529","Indexable",""
"https://kerkarmedia.com/seo-company-in-bangalore/","1","SEO Company in Bangalore & Leading SEO Agency in Bangalore","58","563","Indexable",""
"https://kerkarmedia.com/seo-company-for-doctors/","1","SEO Company For Doctors | Kerkar Media","38","368","Indexable",""
"https://kerkarmedia.com/seo-company-for-real-estate/","1","SEO Company For Real Estate | Kerkar Media","42","400","Indexable",""
"https://kerkarmedia.com/why-kerkar-media/","1","Why Kerkar Media | Grow Better Online","37","346","Indexable",""
"https://kerkarmedia.com/seo-for-manufacturers/","1","SEO Company for Manufacturers | B2B Lead Generation","51","495","Indexable",""
"https://kerkarmedia.com/seo-company-for-automotive-industry/","1","SEO Company For Automotive Industry | Kerkar Media","50","479","Indexable",""
"https://kerkarmedia.com/b2b-seo-roi-calculator/","1","B2B SEO ROI Calculator | Free SEO ROI Calculator","48","438","Indexable",""
"https://kerkarmedia.com/about/","1","About Kerkar Media | Who We Are","31","302","Indexable",""
"https://kerkarmedia.com/seo-company-in-kolkata/","1","SEO Company in Kolkata | B2B and Local Business SEO","51","488","Indexable",""
"https://kerkarmedia.com/seo-company-in-gurgaon/","1","SEO Company in Gurgaon & Leading SEO Agency in Gurgaon","54","535","Indexable",""
"https://kerkarmedia.com/digital-pr-b2b-link-building/","1","Digital PR for B2B: How to Earn Links from Industry Publications","64","566","Indexable",""
"https://kerkarmedia.com/seo-company-for-restaurant/","1","SEO Company For Restaurant | Kerkar Media","41","397","Indexable",""
"https://kerkarmedia.com/seo-company-in-mumbai/","1","SEO Company in Mumbai for B2B Lead Generation | Kerkar Media","60","582","Indexable",""
"https://kerkarmedia.com/media-buying-and-planning/","1","Media Buying And Planning","25","242","Indexable",""
"https://kerkarmedia.com/blogs/","1","Digital Marketing Blogs India 2026 | Kerkar Media","49","437","Indexable",""
"https://kerkarmedia.com/seo/","1","SEO Blogs : SEO Strategies, Tips & Industry Guides","50","447","Indexable",""
"https://kerkarmedia.com/contact-kerkar-media/","1","Best Digital Marketing Company In Mumbai |Kerkar Media","54","514","Indexable",""
"https://kerkarmedia.com/seo-company-in-pune/","1","SEO Company in Pune & Leading SEO Agency in Pune","48","475","Indexable",""
"https://kerkarmedia.com/seo-company-in-ahmedabad/","1","SEO Company in Ahmedabad & Leading SEO Agency in Ahmedabad","58","599","Indexable",""
"https://kerkarmedia.com/kerkar-media-reviews/","1","Kerkar Media Reviews | Trusted by Top Brands","44","413","Indexable",""
"https://kerkarmedia.com/seo-company-in-noida/","1","SEO Company in Noida | IT and B2B Brand Growth","46","441","Indexable",""
"https://kerkarmedia.com/seo-company-in-chandigarh/","1","SEO Company in Chandigarh & Leading SEO Agency in Chandigarh","60","587","Indexable",""
"https://kerkarmedia.com/seo-company-for-dentist/","1","SEO Company For Dentist | Kerkar Media","38","363","Indexable",""
"https://kerkarmedia.com/the-importance-of-keyword-research-for-seo/","1","The Importance of Keyword Research for SEO: A Complete Guide for 2026","69","657","Indexable",""
"https://kerkarmedia.com/seo-pricing-india-2026/","1","SEO Pricing in India 2026: What You Should Actually Pay (Honest Breakdown)","74","685","Indexable",""
"https://kerkarmedia.com/importance-of-seo-agency-in-2026/","1","Importance of an SEO Agency in 2026: Why Businesses Cannot Afford to Go It Alone","80","744","Indexable",""
"https://kerkarmedia.com/seo-for-automotive-industry/","1","SEO for Automotive Industry: The Complete Guide to Ranking & Generating Leads in 2026","85","794","Indexable",""
"https://kerkarmedia.com/seo-audit-checklist/","1","SEO Audit Checklist: A Complete Step-by-Step Guide for 2026","59","546","Indexable",""
"https://kerkarmedia.com/why-b2b-companies-need-seo/","1","Why B2B Companies Need SEO In 2026 [Growth Guide]","49","485","Indexable",""
"https://kerkarmedia.com/benefits-of-seo/","1","Top Revenue Generating Benefits of SEO in 2025","46","434","Indexable",""
"https://kerkarmedia.com/seo-agency-for-long-term-roi/","1","SEO Agency for Long-Term ROI: How to Choose One in 2026","55","532","Indexable",""
"https://kerkarmedia.com/what-are-backlinks/","1","What Are Backlinks? Complete Guide to Link Building 2026","56","520","Indexable",""
"https://kerkarmedia.com/seo-strategy/","1","A Guide To Create A Result-driven SEO Strategy","46","425","Indexable",""
"https://kerkarmedia.com/types-of-seo/","1","Types of SEO: A Complete Guide to Every SEO Category in 2026","60","563","Indexable",""
"https://kerkarmedia.com/seo-for-doctors/","1","SEO for Doctors | Grow Your Medical Practice Online [2026]","58","524","Indexable",""
"https://kerkarmedia.com/seo-packages/","1","SEO Packages and Pricing in India | Kerkar Media","48","437","Indexable",""
"https://kerkarmedia.com/technical-seo-audit-50-point-checklist-2026/","1","Technical SEO Audit: The Complete 50-Point Checklist for 2026","61","562","Indexable",""
"https://kerkarmedia.com/site-migration-seo/","1","Site Migration SEO: How to Change Domain Without Losing Rankings (2026)","71","675","Indexable",""
"https://kerkarmedia.com/25-actionable-seo-tips-to-boost-your-organic-traffic/","1","25 Actionable SEO Tips to Boost Your Organic Traffic in 2026","60","540","Indexable",""
"https://kerkarmedia.com/what-is-an-seo-company/","1","What Is an SEO Company? Definition and How They Work in 2026","60","577","Indexable",""
"https://kerkarmedia.com/seo-for-real-estate/","1","SEO for Real Estate in India: How To Win on Google [2026]","57","513","Indexable",""
"https://kerkarmedia.com/what-is-seo/","1","What Is SEO? The Ultimate Guide to Search Engine Optimisation in 2026","69","641","Indexable",""
"https://kerkarmedia.com/seo-marketing/","1","SEO Marketing: What Entrepreneurs Need to Know in 2026","54","520","Indexable",""
"https://kerkarmedia.com/choosing-the-right-seo-company-in-mumbai/","1","How To Choose An Seo Company In 2026","36","367","Indexable",""
"https://kerkarmedia.com/linkedin-marketing/","1","LinkedIn Marketing Tips, Strategies & Guides","44","398","Indexable",""
"https://kerkarmedia.com/data-driven-marketing/","1","Data-Driven Marketing: How to Use Data to Grow Your Business in 2026","68","635","Indexable",""
"https://kerkarmedia.com/top-b2b-marketing-strategies/","1","Top B2B Marketing Strategies for Lead Growth in 2026","52","485","Indexable",""
"https://kerkarmedia.com/seo-for-manufacturers-tips/","1","SEO Tips For Manufacturing Companies [2026]","43","414","Indexable",""
"https://kerkarmedia.com/seo-for-ecommerce/","1","SEO for Ecommerce | Ultimate ROI Guide [2026]","45","423","Indexable",""
"https://kerkarmedia.com/seo-for-chemical-manufacturers/","1","SEO for Chemical Manufacturers: How to Generate Inbound Enquiries from Industrial Buyers","88","817","Indexable",""
"https://kerkarmedia.com/digital-pr-b2b-link-building-2026/","1","Digital PR for B2B: How to Earn Links from Industry Publications (2026)","71","629","Non-Indexable","noindex"
"https://kerkarmedia.com/seo-for-healthcare/","1","SEO for Healthcare: Grow Your Hospital or Clinic Online [2026]","62","550","Non-Indexable","noindex"
"https://kerkarmedia.com/technical-seo-checklist/","1","Technical SEO Checklist 2026: The Complete Step-by-Step Guide","61","576","Indexable",""
"https://kerkarmedia.com/seo-for-packaging-manufacturers/","1","SEO for Packaging Manufacturers: Turn Your Product Catalogue Into a Lead Engine","79","738","Indexable",""
"https://kerkarmedia.com/seo-vs-google-ads-b2b-india/","1","SEO vs Google Ads For B2B Companies in India Updated [2026]","59","557","Indexable",""
"https://kerkarmedia.com/content-marketing-trends/","1","Content Marketing Trends That Will Shape Digital Strategy in 2026","65","590","Indexable",""
"https://kerkarmedia.com/what-is-local-seo/","1","What Is Local SEO | Guide To Generate Leads In 2026","51","474","Indexable",""
"https://kerkarmedia.com/linkedin-marketing-strategy/","1","LinkedIn Marketing Strategy for B2B Lead Generation","51","473","Indexable",""
"https://kerkarmedia.com/instagram-for-restaurants/","1","Instagram Marketing Strategy for Restaurants: A Complete Guide for 2026","71","660","Indexable",""
"https://kerkarmedia.com/keyword-research-for-b2b/","1","How to Do Keyword Research for B2B with Ahrefs & Google Search Console","70","668","Indexable",""
"https://kerkarmedia.com/inbound-b2b-lead-generation/","1","Inbound B2B Lead Generation: Build a Compounding Pipeline","57","540","Indexable",""
"https://kerkarmedia.com/seo-for-architects/","1","SEO for Architects | Get More Clients Online [2026]","51","449","Indexable",""
"https://kerkarmedia.com/off-page-seo/","1","Off-Page SEO & Link Building for B2B: The 2026 Strategy Guide","61","557","Indexable",""
"https://kerkarmedia.com/how-ai-is-changing-seo/","1","How AI Is Changing SEO in 2026: The Kerkar Media Method","55","525","Indexable",""
"https://kerkarmedia.com/how-to-write-content-for-local-seo/","1","How to Write Content for Local SEO: Step-by-Step Guide","54","498","Indexable",""
"https://kerkarmedia.com/how-to-write-a-linkedin-post/","1","How to Write a LinkedIn Post | 10 Engaging Formats [2026]","57","521","Indexable",""
"https://kerkarmedia.com/nap-in-seo/","1","NAP in SEO : Why Name, Address & Phone Matters In SEO","53","514","Indexable",""
"https://kerkarmedia.com/seo-for-restaurants/","1","SEO for Restaurants | Guide to Ranking Higher In [2026]","55","490","Indexable",""
"https://kerkarmedia.com/what-is-linkedin-marketing/","1","What Is LinkedIn Marketing? Updated Guide [2026]","48","447","Indexable",""
"https://kerkarmedia.com/importance-of-digital-marketing/","1","Importance of Digital Marketing: Updated For 2026","49","450","Indexable",""
"https://kerkarmedia.com/social-media-management-tools/","1","Best Social Media Management Tools: Updated 2026","48","471","Indexable",""
"https://kerkarmedia.com/internal-linking-strategy-b2b-seo-2026/","1","Internal Linking Strategy: How to Structure a B2B Website for SEO in 2026","73","654","Indexable",""
"https://kerkarmedia.com/digital-marketing-trends/","1","Digital Marketing Trends You Cannot Ignore in 2026","50","458","Indexable",""
"https://kerkarmedia.com/social-media-marketing-strategy/","1","Why Your Business Needs a Social Media Marketing Strategy in 2026","65","611","Indexable",""
"https://kerkarmedia.com/seo-for-hotels/","1","SEO for Hotels | Ultimate Guide to Driving Direct Bookings","58","513","Indexable",""
"https://kerkarmedia.com/lead-generation-for-manufacturing-company/","1","Lead Generation for Manufacturing Company: Updated [2026]","57","546","Indexable",""
"https://kerkarmedia.com/seo-for-law-firms/","1","SEO for Law Firms: The Complete 2026 Strategy Guide","51","487","Indexable",""
"https://kerkarmedia.com/complete-eeat-guide/","1","The Complete E-E-A-T Guide for 2026: Building Trust Signals That Google Rewards","79","731","Indexable",""
"https://kerkarmedia.com/seo-for-industrial-suppliers-distributors/","1","SEO for Industrial Suppliers and Distributors: Get Found by B2B Buyers Online","77","684","Indexable",""
"https://kerkarmedia.com/schema-markup-guide/","1","Schema Markup Guide 2026: Every Type, When to Use It, and How to Implement","74","708","Indexable",""
"https://kerkarmedia.com/seo-for-b2b-marketing/","1","SEO for B2B Marketing: The Complete Strategy Guide (2026)","57","538","Indexable",""
"https://kerkarmedia.com/facebook-marketing-strategy-for-business/","1","How to Create a Facebook Marketing Strategy for Your Business in 7 Steps","72","664","Indexable",""
"https://kerkarmedia.com/on-page-seo-complete-guide-2026/","1","On-Page SEO: The Complete 2026 Guide [Title Tags, Meta Descriptions, Headings, Internal Links]","94","858","Indexable",""
"https://kerkarmedia.com/how-to-rank-in-chatgpt-perplexity-ai-overviews/","1","How to Rank in ChatGPT, Perplexity & Google AI Overviews: The 2026 Playbook","75","702","Indexable",""
"https://kerkarmedia.com/the-importance-of-digital-marketing-for-small-businesses-in-2020/","1","The Importance of Digital Marketing for Small Businesses in 2026","64","583","Indexable",""
"https://kerkarmedia.com/how-to-optimise-linkedin-profile/","1","How to Optimise Your LinkedIn Profile in 2026 | Kerkar Media","60","543","Indexable",""
"https://kerkarmedia.com/seo-for-saas/","1","SEO for SaaS | Ultimate Guide to Rank and Grow in [2026]","56","509","Indexable",""
"https://kerkarmedia.com/benefits-of-seo-for-small-business/","1","12 Benefits Of SEO For Small Business [Updated 2026]","52","483","Indexable",""
"https://kerkarmedia.com/301-vs-302-redirects-seo-guide/","1","301 vs 302 Redirects: SEO Impact, When to Use Each, and How to Implement","72","681","Indexable",""
"https://kerkarmedia.com/media-strategy/","1","How to Create an ROI-Focused Media Strategy in 8 Steps","54","505","Indexable",""
"https://kerkarmedia.com/best-seo-tools-2026/","1","Best SEO Tools in 2026: What a Mumbai SEO Agency Actually Uses","62","594","Indexable",""
"https://kerkarmedia.com/seo-for-exporters-indian-manufacturers/","1","SEO for Exporters India | Step-by-Step Guide 2026","49","440","Indexable",""
"https://kerkarmedia.com/google-my-business-seo/","1","Google My Business SEO | How to Build Your GMB Profile 2026","59","555","Indexable",""
"https://kerkarmedia.com/b2b-lead-generation-complete-guide/","1","B2B Lead Generation: The Complete Guide for 2026","48","460","Indexable",""
"https://kerkarmedia.com/seo-for-dentists/","1","SEO for Dentists | Grow Your Dental Practice Online [2026]","58","517","Indexable",""
"https://kerkarmedia.com/internal-linking-strategy-b2b-seo/","1","Internal Linking Strategy: How to Structure a B2B Website for SEO","65","584","Indexable",""
"https://kerkarmedia.com/what-is-aeo-answer-engine-optimization/","1","What Is AEO (Answer Engine Optimization) & Why It Matters","57","533","Indexable",""
"https://kerkarmedia.com/digital-marketing-courses-in-mumbai/","1","Digital Marketing Courses in Mumbai: What to Look for and Where to Start","72","660","Indexable",""
"https://kerkarmedia.com/google-my-business/","1","Google My Business: The Complete Guide to Google Business Profile in 2026","73","682","Indexable",""
"https://kerkarmedia.com/seo-for-schools/","1","SEO for Schools | Increase Enrolments 7x With Google in 2026","60","550","Indexable",""
